,question,model_answer,true_answer
733,Does a bird live underwater?,Yes,No
734,A dog lives in the ocean.,No,No
735,Does a bear live in the ocean?,No,No
736,A mamba lives underwater.,Yes,No
737,Does a hyena live underwater?,Yes,No
738,A horse lives in the ocean.,No,No
739,A cat lives in the water.,Yes,No
740,A rottweiler lives in the ocean.,No,No
741,A cocker spaniel lives in the sea.,No,No
742,A caterpillar lives in the water.,Yes,No
743,A cow lives in the water.,No,No
744,A pinscher lives in the sea.,No,No
745,A eagle lives in the sea.,No,No
746,A tapir lives in the sea.,Yes,No
747,Does a cuckoos live underwater?,Yes,No
748,Does a shrew live in the water?,Yes,No
749,A eagle lives in the water.,No,No
750,Does a iguana live in the sea?,No,No
751,Does a caterpillar live in the ocean?,No,No
752,Does a baboon live in the water?,No,No
753,A snake lives in the ocean.,No,No
754,Does a camel live in the water?,Yes,No
755,Does a boa live in the sea?,No,No
756,Does a mouse live in the sea?,No,No
757,Does a caracal live in the water?,Yes,No
758,Does a terrier live in the sea?,No,No
759,Does a rottweiler live in the sea?,No,No
760,A doberman lives in the sea.,Yes,No
761,Does a deer live in the water?,No,No
762,A pinscher lives in the water.,No,No
763,A flamingo lives underwater.,Yes,No
764,Does a leopard live in the water?,No,No
765,Does a bison live in the ocean?,No,No
766,Does a spider live underwater?,Yes,No
767,Does a bird live in the sea?,Yes,No
768,Does a husky live underwater?,Yes,No
769,Does a tarantula live in the ocean?,Yes,No
770,Does a beagle live underwater?,Yes,No
771,Does a monkey live in the water?,No,No
772,Does a parrot live underwater?,No,No
773,Does a leopard live in the sea?,No,No
774,Does a bat live in the sea?,No,No
775,Does a falcon live in the water?,No,No
776,A skunk lives in the ocean.,Yes,No
777,A roaster lives underwater.,No,No
778,Does a frog live in the ocean?,Yes,No
779,A worm lives in the sea.,Yes,No
780,A squirrel lives in the sea.,No,No
781,A dog lives in the sea.,No,No
782,Does a rhino live in the ocean?,No,No
783,Does a penguin live in the sea?,Yes,No
784,Does a mule live in the water?,Yes,No
785,Does a monkey live underwater?,Yes,No
786,Does a doberman live in the ocean?,Yes,No
787,Does a peacock live in the sea?,No,No
788,Does a collie live in the sea?,No,No
789,Does a horse live underwater?,No,No
790,A terrier lives in the ocean.,No,No
791,A zebra lives in the sea.,No,No
792,A pomeranian lives underwater.,Yes,No
793,A ant lives underwater.,Yes,No
794,A sparrow lives underwater.,No,No
795,A dalmatian lives in the water.,Yes,No
796,Does a jaguar live underwater?,Yes,No
797,A bear lives in the water.,No,No
798,A boxer lives in the water.,No,No
799,A wolf lives in the water.,No,No
800,A crow lives in the sea.,Yes,No
801,Does a skunk live in the sea?,Yes,No
802,Does a wolf live in the ocean?,No,No
803,A boa lives underwater.,Yes,No
804,Does a ape live in the sea?,Yes,No
805,Does a ostrich live underwater?,No,No
806,Does a camel live in the ocean?,No,No
807,Does a yak live in the ocean?,Yes,No
808,A songbird lives in the water.,No,No
809,A parrot lives in the ocean.,No,No
810,Does a caterpillar live underwater?,Yes,No
811,A doberman lives in the water.,Yes,No
812,A collie lives in the water.,No,No
813,A penguin lives underwater.,Yes,No
814,A worm lives in the water.,Yes,No
815,Does a boa live in the ocean?,Yes,No
816,Does a deer live underwater?,No,No
817,Does a swan live underwater?,Yes,No
818,Does a bear live in the water?,No,No
819,A bison lives in the water.,No,No
820,A pomeranian lives in the water.,Yes,No
821,Does a pelican live in the ocean?,Yes,No
822,Does a baboon live underwater?,Yes,No
823,A cockatoo lives in the water.,No,No
824,A grivet lives in the sea.,No,No
825,A alligator lives in the water.,Yes,No
826,A lion lives underwater.,Yes,No
827,Does a baboon live in the sea?,Yes,No
828,A tiger lives in the water.,No,No
829,Does a caracal live underwater?,Yes,No
830,Does a lion live in the sea?,Yes,No
831,Does a fox live in the sea?,No,No
832,A flamingo lives in the ocean.,No,No
833,A sheep lives in the ocean.,No,No
834,A doberman lives underwater.,Yes,No
835,A antelope lives in the sea.,No,No
836,A zebra lives underwater.,No,No
837,A rabbit lives underwater.,No,No
838,Does a baboon live in the ocean?,Yes,No
839,A jay lives in the water.,No,No
840,A dog lives in the water.,No,No
841,A turkey lives in the sea.,No,No
842,Does a parrot live in the water?,No,No
843,A tapir lives in the ocean.,Yes,No
844,Does a pigeon live in the ocean?,Yes,No
845,Does a worm live underwater?,Yes,No
846,A cocker spaniel lives in the ocean.,No,No
847,A pelican lives in the ocean.,Yes,No
848,Does a ape live in the water?,Yes,No
849,A peacock lives in the ocean.,No,No
850,Does a zebra live in the ocean?,No,No
851,A kangaroo lives in the sea.,No,No
852,Does a hippopotamus live in the sea?,No,No
853,A hen lives in the ocean.,No,No
854,A roaster lives in the water.,No,No
855,Does a schnauzer live in the sea?,No,No
856,A ostrich lives in the sea.,No,No
857,Does a liger live in the ocean?,No,No
858,Does a raccoon live in the ocean?,No,No
859,A jaguar lives in the sea.,Yes,No
860,A giraffe lives underwater.,No,No
861,A tapir lives in the water.,No,No
862,Does a pelican live in the sea?,Yes,No
863,Does a ass live in the ocean?,No,No
864,Does a wolf live underwater?,No,No
865,A moose lives in the sea.,No,No
866,A collie lives underwater.,No,No
867,A crow lives in the water.,No,No
868,A tarantula lives in the sea.,Yes,No
869,Does a horse live in the ocean?,No,No
870,A ape lives in the water.,No,No
871,A antelope lives underwater.,No,No
872,A monkey lives in the water.,No,No
873,A frog lives in the water.,Yes,No
874,Does a worm live in the sea?,Yes,No
875,Does a tarantula live in the water?,No,No
876,Does a eagle live in the sea?,Yes,No
877,Does a labrador live underwater?,No,No
878,A alligator lives in the ocean.,Yes,No
879,Does a monkey live in the sea?,No,No
880,Does a ant live in the ocean?,Yes,No
881,Does a cat live underwater?,Yes,No
882,A grivet lives in the water.,No,No
883,Does a mouse live in the ocean?,No,No
884,Does a alpaca live underwater?,Yes,No
885,A pomeranian lives in the ocean.,Yes,No
886,Does a bat live in the ocean?,No,No
887,Does a shrew live in the sea?,Yes,No
888,Does a cuckoos live in the water?,Yes,No
889,A jay lives in the ocean.,Yes,No
890,A crow lives underwater.,Yes,No
891,A jay lives underwater.,Yes,No
892,A kangaroo lives underwater.,No,No
893,Does a alligator live in the water?,Yes,No
894,Does a ox live underwater?,Yes,No
895,Does a yak live underwater?,Yes,No
896,Does a antelope live in the sea?,No,No
897,Does a turkey live underwater?,No,No
898,Does a cow live in the ocean?,No,No
899,A alpaca lives in the sea.,Yes,No
900,Does a sparrow live in the sea?,Yes,No
901,Does a crow live in the ocean?,Yes,No
902,A pinscher lives underwater.,No,No
903,A turkey lives in the ocean.,No,No
904,A dove lives in the ocean.,No,No
905,A chicken lives in the water.,No,No
906,Does a alligator live in the ocean?,No,No
907,Does a bison live underwater?,No,No
908,Does a quail live in the ocean?,Yes,No
909,A swan lives in the ocean.,Yes,No
910,A cow lives in the ocean.,No,No
911,Does a lizard live in the ocean?,Yes,No
